,Name,City,Address,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
74,Бади Винарија,Кавадарци,"Кавадарци, Пере Тошев 3", ,"['винотеки (винарници)', 'вина - производство']",077 832746,http://,https://www.instagram.com/badiwinery/?hl=bg,https://www.facebook.com/badiwinery/,41.4439248211373,21.9971389307305
75,Имако Вино,Штип,"Штип, 6-ти Километар б.б.",Работно време: Пон - Пет од 07:00 до 15:00,"['винарски визби', 'вина - производство', 'вина - трговија', 'винотеки (винарници)']",032 308703,http://www.imakovino.com.mk/,https://,https://www.facebook.com/ImakoVino,41.7017835057227,22.1561998701588
76,Бовин,Неготино,"Неготино, Индустриска б.б.",Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']",043 365322,http://www.bovin.com.mk/,https://,https://www.facebook.com/bovinwinerypage/,41.4935010773352,22.0927470891978
77,Пеца Комерц,Кавадарци,"Кавадарци, Западен булевар 13",Работно време: Пон - Пет од 08:00 до 16:00,"['транспорт - меѓународен', 'земјоделски производи - трговија', 'вина - производство', 'винарски визби']",043 410287,http://www.winerypeca.com/,https://,https://,41.4420480265055,22.0050634123495
78,Пивка,Неготино,"Неготино, Индустриска б.б.",Работно време: Пон - Пет од 07:00 до 15:00,"['вина - трговија', 'винарски визби']",043 371416,http://www.winerypivka.com.mk/,https://,http://www.winerypivka.com.mk/,41.4920852903192,22.093687642636
79,Попова Кула,Демир Капија,"Демир Капија, Булевар на виното 1", ,"['винарски визби', 'вина - производство', 'ресторани', 'хотели', 'вина - трговија', 'ресторани за свадби']",043 367400,http://www.popovakula.com.mk/,https://,https://www.facebook.com/301452074622/,41.4113464152661,22.2272068876167
80,Кокино вино,Куманово,"Куманово, Козјачка, с.Доброшане 15",Работно време: Пон - Пет од 08:00 до 14:00,"['вина - производство', 'винарски визби', 'хотели']",070 236562,http://,https://,https://www.facebook.com/profile.php?id=100063465132926&ref=page_internal,42.1160831107143,21.7483777067827
81,Картал,Скопје,"Скопје, ул.1519 7",Работно време: Пон - Пет од 09:00 до 17:00,"['вина - производство', 'вина - трговија', 'винотеки (винарници)', 'винарски визби']",070 242419,http://www.kartal.com.mk/,https://www.instagram.com/kartalwinery/,https://www.facebook.com/kartalwinery,41.9625966820276,21.4764933509563
82,Пирган,Прилеп,"Прилеп, Орде Чопела 173",Работно време: Пон - Пет од 08:00 до 16:00 • Саб од 08:00 до 15:00,"['винарски визби', 'пијалаци - алкохолни - производство', 'вина - производство']",070 208552,http://,https://,https://www.facebook.com/pirgan.winery/,41.3656050130327,21.5156802585053
83,Коцев Фемили Вајн,Велес,"Велес, с.Оморани",Работно Време: Пон - Саб од 10:00 до 18:00,"['винарски визби', 'вина - производство']",072 245483,http://,https://,https://,41.710214,21.787299
